,Income,Age,Customer_For,num_children,total_spend,total_purchases,spend_to_income_ratio,MntWines_ratio,MntMeatProducts_ratio,MntGoldProds_ratio,web_purchase_ratio,store_purchase_ratio,catalog_purchase_ratio,NumWebVisitsMonth,deal_purchase_ratio,campaign_accept_count,Recency
PC1,0.34988819337206895,0.09045286862715751,0.018742882665612363,-0.2452727471955373,0.3961376701456145,0.3769046185884066,0.2051605624461147,0.11554228039648784,0.08679911296683517,-0.2303756272629476,-0.10160818746390152,-0.22206652403385121,0.33467594705564263,-0.28775323270477143,-0.3214449823685981,0.1897707942685983,0.008304838509458562
PC2,0.1049462318664623,0.2414929130759247,0.16357199296310368,0.316801470934717,0.1293201146695962,0.13310241916377905,-0.009851384409566998,0.4941538308138405,-0.3785560038512632,-0.1546179694466298,0.40717273900698536,-0.24266302307026236,-0.07869071453406305,0.3121271466832597,0.158963941557787,0.0616884473585314,-0.015702164415518124
PC3,0.21999590160130683,0.2442852484018438,-0.35128732027301585,0.15060038486127297,-0.1125020973071554,-0.08272705141318479,-0.23310298396618082,0.35816913398863076,-0.12420587427449961,-0.3320422195799792,-0.34782523015299804,0.4489238723470583,-0.1748719170622304,-0.24216950222246225,-0.06511566613706272,-0.034637078391976134,-0.029333355333648132
PC4,0.0716235924390942,0.11674717372054927,0.28526551404258044,0.2308942073736319,0.04645700154686766,0.06300526154815417,0.18853045654680464,-0.04777484548325419,0.5491541018122583,-0.40102632024038426,-0.010009228450399166,0.08360235907309839,-0.058561685004200066,0.06591561956282352,0.2016494069092251,-0.42893017386831916,0.3173290589869958
